arch,fold,epoch,train_loss,val_f1,val_acc,val_kappa
DeepSleepNet,3,17,0.34688056913454357,0.48519947367647226,0.5675702075702076,0.3845574455486789
DeepSleepNet,3,18,0.3395769172470744,0.4927512999235839,0.5506959706959706,0.3692485422058347
DeepSleepNet,3,19,0.33531681788676393,0.5335773337071814,0.614065934065934,0.4407096252444983
DeepSleepNet,3,20,0.32571576294739074,0.539649409496192,0.6621733821733822,0.4864775456143374
DeepSleepNet,3,21,0.31901637028266744,0.5711783537241224,0.7006593406593407,0.5331348778031277
DeepSleepNet,3,22,0.3155599715833257,0.5682005579971718,0.6632478632478632,0.4941425005172829
DeepSleepNet,3,23,0.3085920559524036,0.5329322659512739,0.6157509157509158,0.4433563570586735
DeepSleepNet,3,24,0.30574112264484893,0.5828570976179709,0.6743589743589744,0.5035982479051894
DeepSleepNet,3,25,0.29563538838813946,0.5786994265309103,0.6847130647130647,0.5153341061188861
DeepSleepNet,3,26,0.2961212479977346,0.5693249377282777,0.6462515262515263,0.46788987466412457
DeepSleepNet,3,27,0.2889215269975546,0.5887494172953247,0.6913064713064713,0.5221761961741586
DeepSleepNet,3,28,0.28331957859418744,0.6555621638114542,0.7492307692307693,0.594128822697483
DeepSleepNet,3,29,0.2780412595846304,0.6217645403107402,0.734993894993895,0.5747282724690459
DeepSleepNet,3,30,0.27642267575714646,0.6025596767646213,0.7376312576312576,0.5738117691837492
DeepSleepNet,3,31,0.270213186688176,0.6190451854681551,0.7233943833943834,0.5556886276128048
DeepSleepNet,3,32,0.26375425240252076,0.5999684675437897,0.7008058608058608,0.5317924059112282
DeepSleepNet,3,33,0.2634873725873668,0.637530822348064,0.7427838827838827,0.5850105252960595
DeepSleepNet,3,34,0.25744736301644544,0.6532348411855315,0.7928937728937729,0.6481160737653631
DeepSleepNet,3,35,0.25372761428719615,0.6510977881174419,0.7893528693528693,0.6453959902334141
DeepSleepNet,3,36,0.24799632621611037,0.6498202861643942,0.7644688644688644,0.609558465360739
DeepSleepNet,3,37,0.24431473381635618,0.6563744734095018,0.7707936507936508,0.6176706685698705
DeepSleepNet,3,38,0.23948041114683558,0.6334647303598196,0.7767765567765568,0.6277094999666015
DeepSleepNet,3,39,0.23624939383530036,0.6583988655625919,0.7435897435897436,0.5854642988670219
DeepSleepNet,3,40,0.23287102527371267,0.6760099713107616,0.8076678876678877,0.6672907594181243
DeepSleepNet,3,41,0.2311433799510322,0.6391326563492117,0.7906715506715507,0.6447411284181201
DeepSleepNet,3,42,0.22595579587468287,0.6921825562172526,0.814041514041514,0.6800578089071985
DeepSleepNet,3,43,0.22382435983819204,0.6829057017743623,0.8314529914529915,0.7031825189943428
DeepSleepNet,3,44,0.22189542310448682,0.6407951181416157,0.7829792429792429,0.6355672315880878
DeepSleepNet,3,45,0.21571863996183,0.6800488577748279,0.8110378510378511,0.6739322567972208
DeepSleepNet,3,46,0.21418543406194304,0.6701460716842156,0.7728205128205128,0.6241225568817442
DeepSleepNet,3,47,0.2096849541329756,0.6857328419982616,0.7901343101343101,0.6463258063865036
DeepSleepNet,3,48,0.20725279931251595,0.657908106636903,0.7627350427350428,0.6114471447672101
DeepSleepNet,3,49,0.20453456678950205,0.7148582734607928,0.8445421245421245,0.7233278477811338
DeepSleepNet,3,50,0.20041404312885389,0.6697065954326982,0.7906227106227106,0.6446892005165722
DeepSleepNet,4,1,0.8533355039087078,0.3092997855891674,0.22977156927277603,0.15447919268187893
DeepSleepNet,4,2,0.5879617324328734,0.4410654925330473,0.33157804919671374,0.22636630449020145
DeepSleepNet,4,3,0.5354424139253171,0.4648566203099037,0.3995465515980399,0.2709939682404634
DeepSleepNet,4,4,0.5036574694799754,0.5051945804784914,0.4056412881835247,0.26060462629480086
DeepSleepNet,4,5,0.48002900239431634,0.48167963299483985,0.3927692045149809,0.25345067960693635
DeepSleepNet,4,6,0.45539839323528963,0.4430895430733301,0.36575733196811233,0.21465035257876564
DeepSleepNet,4,7,0.44473434567638914,0.41560057903820075,0.37324166849508766,0.20454129576673152
DeepSleepNet,4,8,0.426585849516912,0.41825694456799817,0.3218996074989639,0.18159273078041294
DeepSleepNet,4,9,0.4158779550677172,0.4658012873659045,0.47531631682878667,0.28045030662585413
DeepSleepNet,4,10,0.40293201440102705,0.4116396969496788,0.3849923206319023,0.2125818518123258
DeepSleepNet,4,11,0.39472793430147624,0.4371013069716638,0.469977327579902,0.27425824621140293
DeepSleepNet,4,12,0.3860006243401411,0.4763642876210727,0.44174650771593654,0.26458645988003104
DeepSleepNet,4,13,0.3765991332814148,0.35728031588264286,0.3274336283185841,0.17374002034863645
DeepSleepNet,4,14,0.37011765127791607,0.31679277613330914,0.38131109973426947,0.18909327451070668
DeepSleepNet,4,15,0.36016959392785103,0.4242982802985897,0.5128355152490309,0.3047079033645742
DeepSleepNet,4,16,0.3539954928503731,0.501255646811597,0.5705404812404008,0.37100755576056677
DeepSleepNet,4,17,0.348462384015711,0.4354647657446594,0.47212267485799264,0.27849675645008265
DeepSleepNet,4,18,0.3413441026403988,0.42778591152364165,0.4335064238523611,0.25326340059461505
DeepSleepNet,4,19,0.3338238754794975,0.5287056469137519,0.5350934932592213,0.34834915689229695
DeepSleepNet,4,20,0.33103047250749756,0.5445477865377779,0.5852653648309321,0.3965202581523106
DeepSleepNet,4,21,0.322281147583591,0.5060381824906276,0.5431629244984032,0.3499808344334284
DeepSleepNet,4,22,0.3155011538151214,0.5359700333882675,0.5765864599332017,0.37890924906940227
DeepSleepNet,4,23,0.312891020923925,0.5106294323893824,0.5583997659621152,0.3671865824017251
DeepSleepNet,4,24,0.3070497888121907,0.5437045381875512,0.5874350910553646,0.3926006038465696
DeepSleepNet,4,25,0.3006545083572972,0.49770729180541035,0.5809259123820668,0.3817171769634917
DeepSleepNet,4,26,0.2964673888967357,0.54236724784566,0.606889490236232,0.40976415729099036
DeepSleepNet,4,27,0.2890403691911732,0.5563183457355234,0.6338282259440747,0.4344199969423512
DeepSleepNet,4,28,0.2872012291999329,0.5323025713359253,0.6069626270752578,0.4039558250386023
DeepSleepNet,4,29,0.2805545243520666,0.5697743751731787,0.6699822033691704,0.4711920767251624
DeepSleepNet,4,30,0.27862344935976135,0.5902026513419362,0.6886808552134377,0.5005509491968156
DeepSleepNet,4,31,0.2737957209918196,0.5908274568807421,0.6726882664131256,0.4830322538354128
DeepSleepNet,4,32,0.26808385998299,0.614457655625534,0.7159608961700675,0.5384757858616485
DeepSleepNet,4,33,0.26273202261178746,0.6095682648030538,0.6928008971452254,0.5093572542905448
DeepSleepNet,4,34,0.260309950688725,0.5892627191033685,0.6938979497306127,0.5048874342866174
DeepSleepNet,4,35,0.2546065266171572,0.5495866218752603,0.6819522660230625,0.4854805855898696
DeepSleepNet,4,36,0.2504027503365529,0.5621192842165967,0.666130329847144,0.46792263185777017
DeepSleepNet,4,37,0.24792044981232747,0.5958902110937842,0.7053316755649821,0.5192744315218643
DeepSleepNet,4,38,0.24383797455645725,0.6261495610158365,0.7382920110192838,0.5604978949138135
